ID	SentenceA	SentenceB	GoldLabel	GKR4NLILabel	Justification
215	Under condition (I), every multiplicative graph is an internal category.	Under condition (I), there exists a multiplicative graph that is not a category.	C	CONTRADICTION	[SUBCLASS(lemma)]
216	Under condition (I), every multiplicative graph is an internal category.	Under condition (I), every graph is an internal category.	N	NEUTRAL	
217	We describe a simplified categorical approach to Galois descent theory.	We present an approach to Galois descent theory that has a categorical nature.	E	NEUTRAL	
218	We describe a simplified categorical approach to Galois descent theory.	We will not be concerned with Galois descent theory.	C	NEUTRAL	
219	We describe a simplified categorical approach to Galois descent theory.	The previous categorical approach to Galois descent theory was correct, but convoluted.	N	NEUTRAL	
220	Now coproduct preservation yields an approach to product measures.	Some approach to product measures results from coproduct preservation.	E	ENTAILMENT	[SUBCLASS(sense)]
221	Now coproduct preservation yields an approach to product measures.	Product measures are not related to coproduct preservation.	C	NEUTRAL	
222	Now coproduct preservation yields an approach to product measures.	Now the preservation of product measures yields coproduct preservatioN:	N	ENTAILMENT	[SUBCLASS(lemma)]
223	Then we present three applications of groupoidification.	We present at least two applications of groupoidification.	E	NEUTRAL	
224	Then we present three applications of groupoidification.	Groupoidification is a purely theoretic concept that cannot be applied to anything.	C	NEUTRAL	
225	Then we present three applications of groupoidification.	Two of the three applications that we present are well-known.	N	ENTAILMENT	[SUBCLASS(sense)]
226	The second application is to Hecke algebras.	The second application involves some algebras.	E	NEUTRAL	
227	The second application is to Hecke algebras.	Only one application exists.	C	NEUTRAL	
228	The second application is to Hecke algebras.	Hall algebras can also be an application.	N	NEUTRAL	
229	The ``if" directions fail for semi-abelian varieties.	The ``if" directions cannot be proved for semi-abelian varieties.	E	NEUTRAL	
230	The ``if" directions fail for semi-abelian varieties.	The ``if" directions can be proved for semi-abelian varieties.	C	ENTAILMENT	[SUBCLASS(lemma)]
231	The ``if" directions fail for semi-abelian varieties.	The ``only if" directions fail for semi-abelian varieties.	N	NEUTRAL	
232	We compute some simple examples and explore the elementary properties of these invariants.	We will be concerned with some properties of certain invariants.	E	NEUTRAL	
233	We compute some simple examples and explore the elementary properties of these invariants.	We compute some simple examples of these invariants, but we will not be concerned with their properties.	C	ENTAILMENT	[EQUALS(lemma)]
234	We compute some simple examples and explore the elementary properties of these invariants.	We explore the elementary properties of these invariants and prove that no other invariants exist.	N	ENTAILMENT	[EQUALS(lemma)]
235	Symbolic dynamics is partly the study of walks in a directed graph.	The study of walks in a directed graph is related to symbolic dynamics.	E	NEUTRAL	
236	Symbolic dynamics is partly the study of walks in a directed graph.	It is not known whether symbolic dynamics can be connected to graph theory.	C	Exception found:loops not allowed
237	Symbolic dynamics is partly the study of walks in a directed graph.	Symbolic dynamics is partly the study of strolls in a directed graph.	N	NEUTRAL	
238	To each graph we associate a basal graph, well defined up to isomorphism.	A basal graph can be associated with each graph.	E	NEUTRAL	
239	To each graph we associate a basal graph, well defined up to isomorphism.	While it is possible to assign a basal graph to each graph, this correspondence is never well defined.	C	NEUTRAL	
240	To each graph we associate a basal graph, well defined up to isomorphism.	To each graph we associate a basal graph, well defined up to a unique isomorphism.	N	NEUTRAL	
241	We combine two recent ideas: cartesian differential categories, and restriction categories.	The idea of restriction categories is not old.	E	NEUTRAL	
242	We combine two recent ideas: cartesian differential categories, and restriction categories.	The combination of restriction categories and cartesian differential categories is impossible.	C	NEUTRAL	
243	We combine two recent ideas: cartesian differential categories, and restriction categories.	Cartesian differential categories and restriction categories re concepts in categorical logic.	N	NEUTRAL	
244	The category of Set-valued presheaves on a small category B is a topos.	The category of Set-valued presheaves on a small category C is a topos.	E	NEUTRAL	
245	The category of Set-valued presheaves on a small category B is a topos.	There exists a small category C such that the category of Set-valued presheaves on C is not a topos.	C	NEUTRAL	
246	The category of Set-valued presheaves on a small category B is a topos.	The category of Set-valued presheaves on a category B is a topos.	N	NEUTRAL	
247	A flow on a compact Hausdorff space is an automorphism.	A flow on a compact Hausdorff space is an endomorphism.	E	ENTAILMENT	[EQUALS(embed)]
248	A flow on a compact Hausdorff space is an automorphism.	No flow on a compact Hausdorff space is an automorphism.	C	CONTRADICTION	[EQUALS(lemma), EQUALS(lemma)]
249	A flow on a compact Hausdorff space is an automorphism.	A flow on a Hausdorff space is an automorphism	N	ENTAILMENT	[SUBCLASS(surface)]
250	Vertical arrows give rise to modules between representables.	Some arrows give rise to modules between representables.	E	ENTAILMENT	[SUBCLASS(lemma)]
251	Vertical arrows give rise to modules between representables.	Modules between representables have no interaction with vertical arrows.	C	NEUTRAL	
252	Vertical arrows give rise to modules between representables.	Horizontal arrows give rise to modules between representables.	N	CONTRADICTION	[DISJOINT(lemma)]
253	Various concerns suggest looking for internal co-categories in categories with strong logical structure.	We looked for internal co-categories with strong logical structure.	E	NEUTRAL	
254	Various concerns suggest looking for internal co-categories in categories with strong logical structure.	We abandon the idea of looking for internal co-categories in categories with a strong logical structure.	C	NEUTRAL	
255	Various concerns suggest looking for internal co-categories in categories with strong logical structure.	We suggest looking for internal co-categories.	N	NEUTRAL	
256	We give a new proof of the fact that every topos is adhesive.	We give a proof that each topos is adhesive.	E	ENTAILMENT	[SUBCLASS(lemma)]
257	We give a new proof of the fact that every topos is adhesive.	We give a new proof that every topos is non-adhesive.	C	NEUTRAL	
258	We give a new proof of the fact that every topos is adhesive.	The old proof of the fact that every topos is adhesive had gaps.	N	NEUTRAL	
259	We compare various different definitions of "the category of smooth objects".	We have several definitions of "the category of smooth objects".	E	ENTAILMENT	[SUBCLASS(embed)]
260	We compare various different definitions of "the category of smooth objects".	No one has given a definition of "the category of smooth objects".	C	NEUTRAL	
261	We compare various different definitions of "the category of smooth objects".	No one has given a definition of "the bicategory of smooth objects".	N	NEUTRAL	
262	We indicate also some possible novel geometric interest in such algebras.	We suggest some novel geometric interest in such algebras.	E	ENTAILMENT	[SUBCLASS(embed)]
263	We indicate also some possible novel geometric interest in such algebras.	We fail to see any possible geometric interest in such algebras.	C	NEUTRAL	
264	We indicate also some possible novel geometric interest in such algebras.	We suggest some novel geometric interest in such coalgebras.	N	NEUTRAL	
265	In this paper we will give a new, elementary proof of this result.	We give a proof of this result.	E	ENTAILMENT	[SUBCLASS(lemma)]
266	In this paper we will give a new, elementary proof of this result.	In this paper we give the old, original proof of this result.	C	CONTRADICTION	[DISJOINT(lemma)]
267	In this paper we will give a new, elementary proof of this result.	In this paper we will give a number=theoretic proof of this result.	N	NEUTRAL	
268	We clarify details of that work.	We provide details of that work.	E	NEUTRAL	
269	We clarify details of that work.	That work cannot be clarified.	C	NEUTRAL	
270	We clarify details of that work.	We give details of a special case of that work.	N	NEUTRAL	
271	Our main conceptual tool is a monad on the category of grouped toposes.	We use as a conceptual tool a monad on the category of grouped toposes.	E	NEUTRAL	
272	Our main conceptual tool is a monad on the category of grouped toposes.	We do not have a conceptual tool for this problem.	C	NEUTRAL	
273	Our main conceptual tool is a monad on the category of grouped toposes.	We present a topos-theoretic investigation of isotropy and the Clifford sequence.	N	NEUTRAL	
274	We also discuss some new examples and results motivated by this characterization.	We discuss this characterization.	E	ENTAILMENT	[SUBCLASS(lemma)]
275	We also discuss some new examples and results motivated by this characterization.	We refrain from discussing examples and results motivated by this characterization.	C	ENTAILMENT	[EQUALS(lemma)]
276	We also discuss some new examples and results motivated by this characterization.	We also discuss new functors motivated by this characterization.	N	NEUTRAL	
277	It also gives an easy way to calculate the sources and targets of opetopes.	This gives a way to calculate the sources of opetopes.	E	NEUTRAL	
278	It also gives an easy way to calculate the sources and targets of opetopes	This gives a hard way to calculate the sources and targets of opetopes.	C	NEUTRAL	
279	It also gives an easy way to calculate the sources and targets of opetopes	It also gives an easy way to calculate the sources and targets of polytopes.	N	NEUTRAL	
